1	FS185_no_chrMXY_NUC.sorted.bed	FS185-CD4T-F	CD4T	F
2	FS186_no_chrMXY_NUC.sorted.bed	FS186-CD4T-RE1	CD4T	RE1
3	FS187_no_chrMXY_NUC.sorted.bed	FS187-CD4T-FRE1	CD4T	FRE1
4	FS188_no_chrMXY_NUC.sorted.bed	FS188-CD4T-FRE1	CD4T	FRE1
5	FS189_no_chrMXY_NUC.sorted.bed	FS189-CD4T-FRE1	CD4T	FRE1
6	FS197_no_chrMXY_NUC.sorted.bed	FS197-hESC-H9-F	hESC-H9	F
7	FS198_no_chrMXY_NUC.sorted.bed	FS198-hESC-H9-F	hESC-H9	F
8	FS199_no_chrMXY_NUC.sorted.bed	FS199-hESC-H9-RE1	hESC-H9	RE1
9	FS201_no_chrMXY_NUC.sorted.bed	FS201-hESC-H9-FRE1	hESC-H9	FRE1
10	FS303_no_chrMXY_NUC.sorted.bed	FS303-hESC-H9-RE3	hESC-H9	RE3
11	FS331_no_chrMXY_NUC.sorted.bed	FS331-hESC-H9-RE2	hESC-H9	RE2
12	FS203_no_chrMXY_NUC.sorted.bed	FS203-HEK293T-WT-FRE1	HEK293T-WT	FRE1
13	FS305_no_chrMXY_NUC.sorted.bed	FS305-HEK293T-WT-RE3	HEK293T-WT	RE3
14	FS326_no_chrMXY_NUC.sorted.bed	FS326-HEK293T-WT-F	HEK293T-WT	F
15	FS333_no_chrMXY_NUC.sorted.bed	FS333-HEK293T-WT-RE2	HEK293T-WT	RE2
16	FS391_no_chrMXY_NUC.sorted.bed	FS391-HEK293T-WT-F	HEK293T-WT	F
17	FS300_no_chrMXY_NUC.sorted.bed	FS300-HEK293T-RNASEH2A-KO-T3-8-RE1	HEK293T-KO	RE1
18	FS306_no_chrMXY_NUC.sorted.bed	FS306-HEK293T-RNASEH2A-KO-T3-8-RE3	HEK293T-KO	RE3
19	FS309_no_chrMXY_NUC.sorted.bed	FS309-HEK293T-RNASEH2A-KO-T3-8-RE2	HEK293T-KO	RE2
20	FS327_no_chrMXY_NUC.sorted.bed	FS327-HEK293T-RNASEH2A-KO-T3-8-F	HEK293T-KO	F
21	FS392_no_chrMXY_NUC.sorted.bed	FS392-HEK293T-RNASEH2A-KO-T3-8-F	HEK293T-KO	F
22	FS301_no_chrMXY_NUC.sorted.bed	FS301-HEK293T-RNASEH2A-KO-T3-17-RE1	HEK293T-KO	RE1
23	FS307_no_chrMXY_NUC.sorted.bed	FS307-HEK293T-RNASEH2A-KO-T3-17-RE2	HEK293T-KO	RE2
24	FS310_no_chrMXY_NUC.sorted.bed	FS310-HEK293T-RNASEH2A-KO-T3-17-RE3	HEK293T-KO	RE3
25	FS329_no_chrMXY_NUC.sorted.bed	FS329-HEK293T-RNASEH2A-KO-T3-17-F	HEK293T-KO	F
26	FS393_no_chrMXY_NUC.sorted.bed	FS393-HEK293T-RNASEH2A-KO-T3-17-F	HEK293T-KO	F
27	FS472_no_chrMXY_NUC.sorted.bed	FS472-HEK293T-T3-8-siRNA-NC-5pmol-hRE3	HEK293T-T3-8-siRNA-NC-5pmol	hRE3
28	FS473_no_chrMXY_NUC.sorted.bed	FS473-HEK293T-T3-8-siRNA-TOP1-5pmol-hRE3	HEK293T-T3-8-siRNA-TOP1-5pmol	hRE3
29	FS479_no_chrMXY_NUC.sorted.bed	FS479-HEK293T-T3-8-siRNA-NC-5pmol-hRE1	HEK293T-T3-8-siRNA-NC-5pmol	hRE1
30	FS481_no_chrMXY_NUC.sorted.bed	FS481-HEK293T-T3-8-siRNA-NC-5p5pmol-dsF	HEK293T-T3-8-siRNA-NC-5p5pmol	dsF
31	FS482_no_chrMXY_NUC.sorted.bed	FS482-HEK293T-T3-8-siRNA-TOP1-5p5pmol-dsF	HEK293T-T3-8-siRNA-TOP1-5p5pmol	dsF
32	FS483_no_chrMXY_NUC.sorted.bed	FS483-HEK293T-T3-8-siRNA-TOP1-5p5pmol-dsF	HEK293T-T3-8-siRNA-TOP1-5p5pmol	dsF
33	FS498_no_chrMXY_NUC.sorted.bed	FS498-HEK293T-T3-8-siRNA-NC-5p5pmol-dsF	HEK293T-T3-8-siRNA-NC-5p5pmol	dsF
34	FS499_no_chrMXY_NUC.sorted.bed	FS499-HEK293T-T3-8-siRNA-TOP1-5p5pmol-dsF	HEK293T-T3-8-siRNA-TOP1-5p5pmol	dsF
